word,part_of_speech,category,meaning,question_id,live,double
=,"VERB, NOUN",Technical Term,Mathematical operation representing equivalence or comparison,86078,,
Average,PROPN,Individual Name,"Represents an abstract concept, often used as a name",86078,,
Avg,PROPN,GPE,"Abbreviation representing average, denoting a common metric",86078,,
arithmetic,ADJ,Technical Term,Refers to a specific type of calculation,86078,,
average,ADJ,GPE,Describes the central tendency of a dataset,86078,,
determined,ADJ,Technical Term,Represents a process of finding a specific value or outcome,86078,,
dog,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,,
equation,NOUN,Technical Term,Represents a mathematical relationship expressed with symbols and formulas,86078,,
mean,NOUN,Technical Term,Statistically defined central tendency of data points,86078,,
pound,NOUN,Technical Term,Unit used to quantify weight,86078,,
question,NOUN,technical term,Queries or inquiries,86078,,
respectively,ADV,,In the order given,86078,,
same,ADJ,,Equal or alike,86078,,
total,ADJ,,Summation or entirety,86078,,
value,NOUN,technical term,Amount or worth,86078,,
weight,NOUN,technical term,Heaviness or force of gravity,86078,,
y,PROPN,,Unknown variable,86078,,
%,NOUN,Technical Term,Percentage,27658,,
.,PROPN,Technical Term,"End of Sentence, Period",27658,,
=,"NOUN, PROPN",Technical Term,Equals Sign,27658,,
Rs,"PROPN, NORP",Technical Term,Indian Rupees,27658,,
article,NOUN,Technical Term,Written Work,27658,,
CP,PROPN,Organization Name,,27658,,
Discount,PROPN,Organization Name,,27658,,
MP,PROPN,Organization Name,,27658,,
Mahesh,PROPN,Individual Name,,27658,,
cost,NOUN,technical term,Monetary value at which something is produced or acquired,27658,,
discount,NOUN,technical term,Reduction in the price of a product or service,27658,,
mark,VERB,,To indicate a price or value,27658,,
percentage,NOUN,technical term,A fraction expressed as a percentage out of 100,27658,,
price,NOUN,technical term,"The amount of money expected, required, or given in payment for something",27658,,
sell,VERB,,To exchange goods or services for money,27658,,
r,NOUN,PRODUCT,Cost price,27658,,
sp,NOUN,NORP,Selling price,27658,,
=,"NOUN, VERB",,Represents equality or comparison,54084,,
A;s,PROPN,ORGANISATION,"Refers to a company, group, or institution",54084,,
Rs,PROPN,PERSON,Refers to a currency (likely Rupees),54084,,
a,NOUN,,A quantity or amount.,54084,,
b,NOUN,,A quantity or amount.,54084,,
c,NOUN,,A quantity or amount.,54084,,
divide,VERB,technical term,To allocate portions of something,54084,,
get,VERB,,To receive or acquire a share,54084,,
r,NOUN,,abbreviation for rupees,54084,,
respectively,ADV,,In the order specified,54084,,
share,NOUN,technical term,A portion allocated from a whole,54084,,
then,ADV,,"Following a previously stated occurrence}, 0{word: ",54084,,
way,NOUN,technical term,A method or manner of doing something,54084,,
initial,ADJ,technical term,Start value,13920,,
price,NOUN,technical term,Monetary value assigned to an item or service,13920,,
discount,NOUN,technical term,Reduction in price,13920,,
percentage,NOUN,technical term,Proportion or ratio expressed as a fraction of 100,13920,,
sale,NOUN,technical term,Promotional event offering reduced prices,13920,,
*,NOUN,Technical Term,Placeholder,13920,,
=,"NOUN, PROPN",Technical Term,Equality,13920,,
item,NOUN,Technical Term,Object of Sale,13920,,
let,VERB,Technical Term,Define Value,13920,,
so,ADV,,Therefore,13920,,
average,NOUN,technical term,Mathematical calculation,81305,,
multiply,VERB,technical term,Numerical operation,81305,,
new,ADJ,organization name,Set of numbers,81305,,
number,NOUN,technical term,Quantifiable data,81305,,
set,NOUN,technical term,Collection of numbers,81305,,
sum,NOUN,technical term,Total value,81305,,
then,ADV,organization name,Sequence of operations,81305,,
=,"VERB, PROPN",technical term,expression of equality,18645,,
Sum,PROPN,individual name,the total amount obtained by adding together all elements,18645,,
a+3d)+(a+11d,NOUN,technical term,the sum of the 4th and 12th terms of an arithmetic progression,18645,,
arithmetic,ADJ,technical term,"operations involving addition, subtraction, multiplication, and division",18645,,
now,ADV,,at the present time,18645,,
progression,NOUN,technical term,an ordered sequence of numbers or objects where each element is related to preceding one in a specific pattern,18645,,
sum,NOUN,organization name,total amount calculated by adding several values,18645,,
term,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,,
7x,PROPN,Individual Name,Temperature on the 1st day,12383,,
=,"VERB, NOUN",Technical Term,Represents equality or calculation,12383,,
D,PROPN,Individual Name,Answer to the Question,12383,,
Subtracting,PROPN,Technical Term,Mathematical operation performed on values,12383,,
Sum,PROPN,Technical Term,Represents the total of values,12383,,
Temp,NOUN,Technical Term,Short form for 'temperature',12383,,
answer,NOUN,Individual Name,Solution to Problem,12383,,
average,"ADJ, NOUN",Technical Term,Represents calculated central value,12383,,
day,NOUN,Organization Name,Specifies a period of 24 hours,12383,,
be,VERB,,,12383,,
explanation,NOUN,technical term,Describing a process or concept,12383,,
ratio,NOUN,technical term,Relationship between two values,12383,,
respectively,ADV,,In the order stated,12383,,
temperature,NOUN,technical term,Heat intensity,12383,,
town,NOUN,organization name,Community location,12383,,
x,NOUN,technical term,Unknown variable,12383,,
get,VERB,,,12383,,
let,VERB,,,12383,,
then,ADV,,,12383,,
AC,PROPN,ORG,Organization name,36718,,
BC,PROPN,ORG,Organization name,36718,,
AB,PROPN,ORG,Organization name,36718,,
AC=2BC,NOUN,MATH,Mathematical Equation,36718,,
=,"VERB, NOUN",,"Equality, Assignment",36718,,
4 hour,NUM,TIME,Duration,36718,,
2 hour,NUM,TIME,Duration,36718,,
6 hour,NUM,TIME,Duration,36718,,
C=2,NOUN,,Value of 'C' after calculations,36718,,
Joe,PROPN,Individual Name,Person,36718,,
Plug,PROPN,Technical Term,Electrical Connection,36718,,
a,NOUN,Individual Name,Dimension,36718,,
as,ADV,Technical Term,Comparison,36718,,
b,NOUN,Individual Name,Dimension,36718,,
c,NOUN,Individual Name,Dimension,36718,,
c and 6 hour,NOUN,TIME,Time Period,36718,,
ceiling,NOUN,Technical Term,Building Feature,36718,,
compare,VERB,Technical Term,Assessment,36718,,
constant,ADJ,technical term,Rate of change or process,36718,,
dimension,NOUN,technical term,Linear measurement,36718,,
dimensions,PROPN,organization name,Physical measures of space,36718,,
find,VERB,none,To determine or discover a value,36718,,
give,VERB,none,To provide or supply information,36718,,
long,ADJ,technical term,Extension in length,36718,,
meter,NOUN,technical term,Unit of measurement for distance,36718,,
