word,part_of_speech,category,meaning,question_id
=,"VERB, NOUN",technical term,Equation,86078
Average,PROPN,individual name,Value representing the typical amount or degree of something.,86078
Avg,PROPN,GPE,Shortening for AVG,86078
arithmetic,ADJ,technical term,Involving mathematical calculations with numbers.,86078
average,ADJ,,typical,86078
c,NOUN,organization name,Option,86078
choose,VERB,technical term,Select an option.,86078
determined,ADJ,,Decided or established.,86078
dog,NOUN,,A domesticated carnivorous mammal.,86078
equation,NOUN,technical term,A mathematical statement that shows the equality of two expressions.,86078
mean,NOUN,technical term,average,86078
pound,NOUN,technical term,unit of weight,86078
question,NOUN,individual name,inquiry or query,86078
respectively,ADV,technical term,in the order stated,86078
same,ADJ,individual name,equal or identical,86078
total,ADJ,technical term,entire sum,86078
value,NOUN,technical term,amount or worth,86078
weight,NOUN,technical term, heaviness  or mass,86078
y,PROPN,individual name,unknown variable,86078
CP,NOUN,Technical Term,Cost Price,27658
MP,NOUN,Technical Term,Marked Price,27658
Discount,NOUN,Technical Term,Price Reduction,27658
%,NOUN,technical term,Percentage,27658
ANSWER,PROPN,,,27658
Mahesh,PROPN,Individual Name,Person,27658
Rs,PROPN,Technical Term,Currency,27658
SP,NOUN,technical term,Selling Price,27658
Discount,NOUN,technical term,Price Reduction,27658
percentage,NOUN,technical term,Proportion or Rate,27658
article,NOUN,,Product or Commodity,27658
price,NOUN,Technical Term,Monetary Value,27658
c,NOUN,Organization Name,Product,27658
cost,NOUN,Technical Term,Price of an item,27658
mark,VERB,,To indicate a price,27658
r,NOUN,Organization Name,Product,27658
sell,VERB,,To exchange for money,27658
=,"NOUN, VERB, PROPN",,Equality,54084
A;s,PROPN,ORGANIZATION NAME,Company Name,54084
Rs,PROPN,PERSON,Company/Organization Reference,54084
answer,NOUN,,Solution/Result,54084
A,PROPN,,,54084
B,PROPN,,,54084
C,PROPN,,,54084
a,NOUN,,,54084
b,NOUN,,,54084
c,NOUN,,An entity in a given transaction/setting.,54084
divide,VERB,,The process of allocating resources or parts among individuals or groups.,54084
get,VERB,,To receive or obtain something.,54084
r,NOUN,", NORP",A potential outcome of the division/allocation.,54084
respectively,ADV,,Indicating different orderings or magnitudes in a sequence.,54084
share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084
then,ADV,,Indicates a consequence or subsequent action following a preceding event.,54084
way,NOUN,,A method or manner of achieving something.,54084
*,NOUN,technical term,Placeholder for unknown value,13920
=,"NOUN, PROPN",technical term,Operator signifying equality or assignment,13920
Price,PROPN,individual name,Value representing the cost of an item in a transaction,13920
answer,NOUN,technical term,Solution or response to a question,13920
d,NOUN,individual name,Shorthand for 'day' within the text context,13920
definitely,ADV,technical term,Expresses certainty or conviction in a statement,13920
discount,"NOUN, VERB",technical term,Reduction in the original price of an item or service,13920
initial,ADJ,technical term,Value denoting the starting point or initial state of something,13920
item,NOUN,organizational name,Product or good being sold in a transaction,13920
let,VERB,technical term,Introduction of a variable or assumption into a calculation,13920
percentage,NOUN,technical term,A ratio or proportion expressed as a fraction of 100,13920
price,NOUN,technical term,The amount of money needed to buy something,13920
sale,NOUN,,The act of selling or being sold,13920
so,ADV,,Therefore,13920
D.,PROPN,Individual Name,A specific answer,81305
answer,NOUN,,The solution to a problem or question,81305
average,NOUN,Technical Term,A central value from data points,81305
multiply,VERB,,To perform a mathematical operation of combining values,81305
new,ADJ,,Recently produced or created,81305
number,NOUN,Technical Term,A mathematical value typically for counting or measuring,81305
set,NOUN,,A collection of things,81305
sum,NOUN,Technical Term,The total value obtained by adding multiple quantities,81305
then,ADV,,Indicates a chronological sequence,81305
