lemma,word,part_of_speech,category,meaning,question_id,code
total,Total,ADJ,technical term,entire sum,86078,r016
weight,weight,NOUN,technical term, heaviness  or mass,86078,r018
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009
=,=,VERB,technical term,Equation,86078,r001
Avg,Avg,PROPN,GPE,Shortening for AVG,86078,r003
=,=,NOUN,technical term,Equation,86078,r001
total,Total,ADJ,technical term,entire sum,86078,r016
weight,weight,NOUN,technical term, heaviness  or mass,86078,r018
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009
=,=,NOUN,technical term,Equation,86078,r001
Average,Average,PROPN,individual name,Value representing the typical amount or degree of something.,86078,r002
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009
question,Question,NOUN,individual name,inquiry or query,86078,r013
equation,Equation,NOUN,ORG,A mathematical statement that shows the equality of two expressions.,86078,r010
y,y,PROPN,individual name,unknown variable,86078,r019
=,=,NOUN,technical term,Equation,86078,r001
y,y,PROPN,individual name,unknown variable,86078,r019
=,=,NOUN,technical term,Equation,86078,r001
choose,Choose,VERB,technical term,Select an option.,86078,r007
c,C,NOUN,organization name,Option,86078,r006
CP,CP,PROPN,Technical Term,Cost Price,27658,r006
Rs,Rs,PROPN,Technical Term,Currency,27658,r010
MP,MP,PROPN,Technical Term,Marked Price,27658,r008
r,Rs,NOUN,PRODUCT,Product,27658,r018
Rs,Rs,PROPN,Technical Term,Currency,27658,r010
Discount,Discount,PROPN,Technical Term,Price Reduction,27658,r007
Discount,Discount,PROPN,technical term,Price Reduction,27658,r007
%,%,NOUN,technical term,Percentage,27658,r001
ANSWER,ANSWER,PROPN,,,27658,r005
c,C,NOUN,Organization Name,Product,27658,r012
b,B,NOUN,,,54084,r010
b,B,NOUN,,,54084,r010
=,=,NOUN,,Equality,54084,r002
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011
=,=,VERB,,Equality,54084,r002
A,A,PROPN,,,54084,r003
b,B,NOUN,,,54084,r010
=,=,NOUN,,Equality,54084,r002
B,B,PROPN,,,54084,r005
C,C,PROPN,,,54084,r006
a,A,NOUN,,,54084,r008
b,B,NOUN,,,54084,r010
b,B,NOUN,,,54084,r010
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011
=,=,NOUN,,Equality,54084,r002
a,A,NOUN,,,54084,r008
b,B,NOUN,,,54084,r010
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011
A;s,A;s,PROPN,ORG,Company Name,54084,r004
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016
=,=,PROPN,,Equality,54084,r002
=,=,NOUN,,Equality,54084,r002
r,Rs,NOUN,", NORP",A potential outcome of the division/allocation.,54084,r014
b,B,NOUN,,,54084,r010
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016
=,=,NOUN,,Equality,54084,r002
=,=,NOUN,,Equality,54084,r002
r,Rs,NOUN,", NORP",A potential outcome of the division/allocation.,54084,r014
c,C,NOUN,,An entity in a given transaction/setting.,54084,r011
share,share,NOUN,Organization Name,A portion assigned to an individual in a group distribution.,54084,r016
=,=,NOUN,,Equality,54084,r002
r,Rs,NOUN,NORP,A potential outcome of the division/allocation.,54084,r014
answer,Answer,NOUN,,Solution/Result,54084,r009
b,B,NOUN,,,54084,r010
let,Let,VERB,technical term,Introduction of a variable or assumption into a calculation,13920,r010
initial,initial,ADJ,technical term,Value denoting the starting point or initial state of something,13920,r008
price,price,NOUN,technical term,The amount of money needed to buy something,13920,r012
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002
Price,Price,PROPN,individual name,Value representing the cost of an item in a transaction,13920,r003
discount,discount,NOUN,technical term,Reduction in the original price of an item or service,13920,r007
=,=,NOUN,technical term,Operator signifying equality or assignment,13920,r002
so,So,ADV,,Therefore,13920,r014
price,Price,NOUN,technical term,The amount of money needed to buy something,13920,r012
percentage,percentage,NOUN,technical term,A ratio or proportion expressed as a fraction of 100,13920,r011
sale,sale,NOUN,,The act of selling or being sold,13920,r013
price,price,NOUN,technical term,The amount of money needed to buy something,13920,r012
=,=,PROPN,technical term,Operator signifying equality or assignment,13920,r002
*,*,NOUN,technical term,Placeholder for unknown value,13920,r001
answer,Answer,NOUN,ORG,Solution or response to a question,13920,r004
definitely,definitely,ADV,technical term,Expresses certainty or conviction in a statement,13920,r006
d,D,NOUN,individual name,Shorthand for 'day' within the text context,13920,r005
sum,sum,NOUN,Technical Term,The total value obtained by adding multiple quantities,81305,r008
number,numbers,NOUN,Technical Term,A mathematical value typically for counting or measuring,81305,r006
number,number,NOUN,Technical Term,A mathematical value typically for counting or measuring,81305,r006
multiply,multiplied,VERB,,To perform a mathematical operation of combining values,81305,r004
new,new,ADJ,,Recently produced or created,81305,r005
sum,sum,NOUN,Technical Term,The total value obtained by adding multiple quantities,81305,r008
average,average,NOUN,Technical Term,A central value from data points,81305,r003
then,then,ADV,,Indicates a chronological sequence,81305,r009
answer,answer,NOUN,,The solution to a problem or question,81305,r002
D.,D.,PROPN,NORP,A specific answer,81305,r001
term,term,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010
term,term,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010
=,=,VERB,technical term,expression of equality,18645,r001
a+3d)+(a+11d,a+3d)+(a+11d,NOUN,technical term,a general representation of mathematical expressions used within arithmetic progressions,18645,r003
=,=,VERB,technical term,expression of equality,18645,r001
now,Now,ADV,technical term,Indicates a point in time relative to the progression.,18645,r007
Sum,Sum,PROPN,organization name,represents the result of adding together terms in a sequence,18645,r002
term,terms,NOUN,technical term,Individual element or component within a series (a mathematical sequence).,18645,r010
=,=,PROPN,technical term,expression of equality,18645,r001
=,=,PROPN,technical term,expression of equality,18645,r001
=,=,PROPN,technical term,expression of equality,18645,r001
answer,Answer,NOUN,technical term,solution to a problem or question typically presented in an arithmetic context,18645,r004
b,B,NOUN,individual name,"Could be a variable, but within this context, it likely stands in for an answer value.",18645,r006
explanation,Explanation,NOUN,,Statement clarifying a concept,12383,r012
Sum,Sum,PROPN,Technical Term,Mathematical operation used to calculate the total temperature over a period.,12383,r005
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017
day,days,NOUN,technical term,Time periods for measurement,12383,r011
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002
Sum,Sum,PROPN,Technical Term,Mathematical operation used to calculate the total temperature over a period.,12383,r005
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017
day,days,NOUN,technical term,Time periods for measurement,12383,r011
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002
Subtracting,Subtracting,PROPN,Technical Term,Mathematical operation used to find the difference between temperatures,12383,r004
get,get,VERB,,Obtain something,12383,r013
Temp,Temp,PROPN,PERSON,Symbol representing Temperature,12383,r006
day,day,NOUN,technical term,Time periods for measurement,12383,r011
Temp,Temp,PROPN,Technical Term,Symbol representing Temperature,12383,r006
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002
let,Let,VERB,,Permit or allow something,12383,r014
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r017
day,days,NOUN,technical term,Time periods for measurement,12383,r011
be,be,VERB,Technical Term,State of being or mathematical equivalence,12383,r010
respectively,respectively,ADV,,In the order mentioned,12383,r016
then,Then,ADV,,Subsequent event or action,12383,r018
7x,7x,PROPN,Technical Term,Variable representing temperature on the 1st day,12383,r001
x,x,NOUN,technical term,Variable representing a value,12383,r020
=,=,NOUN,Technical Term,Represents equality or calculation result,12383,r002
answer,Answer,NOUN,Technical Term,Solution to the mathematical problem,12383,r008
D,D,PROPN,Individual Name,The variable 'x' represents the answer to the puzzle.,12383,r003
Temperature,Temperature,PROPN,Technical Term,Metric for measuring heat intensity,12383,r007
day,day,NOUN,technical term,Time periods for measurement,12383,r011
=,=,NOUN,Technical Term,Represents equality or calculation result,12383,r002
=,=,VERB,Technical Term,Represents equality or calculation result,12383,r002
time,Time,NOUN,,Duration,36718,r036
paint,paint,VERB,technical term,To apply coating to a surface,36718,r029
wall,wall,NOUN,,A vertical surface that encloses a space,36718,r039
give,given,VERB,technical term,To provide or supply,36718,r026
problem,problem,NOUN,technical term,A situation or question requiring solution,36718,r030
AC,AC,PROPN,ORG,UNKNOWN,36718,r007
4 hour,4 hours,NUM,TIME, duration,36718,r002
BC,BC,PROPN,ORG,UNKNOWN,36718,r009
2 hour,2 hours,NUM,TIME, duration,36718,r001
AB,AB,PROPN,OTHER,UNKNOWN,36718,r005
=,=,VERB,MATHEMATICAL OPERATOR, equality,36718,r004
6 hour,6 hours,NUM,TIME, duration,36718,r003
work,works,VERB,,To perform labor or activity,36718,r040
constant,constant,ADJ,technical term,Maintaining a steady rate,36718,r022
rate,rate,NOUN,,Speed or efficiency of work,36718,r031
take,takes,VERB,,To require a specific amount of time to complete,36718,r034
twice,twice,ADV,,Double the amount,36718,r037
as,as,ADV,CONNECTION WORD,introduces a comparison,36718,r015
long,long,ADJ,technical term,Extended in duration or measurement,36718,r027
paint,paint,VERB,technical term,To apply coating to a surface,36718,r029
AC,AC,PROPN,ORG,UNKNOWN,36718,r007
compare,compared,VERB,technical term,To analyze or evaluate,36718,r021
BC,BC,PROPN,ORG,UNKNOWN,36718,r009
AC=2BC,AC=2BC,PROPN,ORG,relationship between variables,36718,r008
a,A,NOUN,technical term,Dimension,36718,r013
find,find,VERB,technical term,To discover or locate through investigation,36718,r025
paint,painting,VERB,technical term,To apply coating to a surface,36718,r029
AB,AB,PROPN,OTHER,UNKNOWN,36718,r005
take,takes,VERB,,To require a specific amount of time to complete,36718,r034
time,times,NOUN,,Duration,36718,r036
as,as,ADV,CONNECTION WORD,introduces a comparison,36718,r015
long,long,ADJ,technical term,Extended in duration or measurement,36718,r027
compare,compared,VERB,technical term,To analyze or evaluate,36718,r021
BC,BC,PROPN,ORG,UNKNOWN,36718,r009
a,A,NOUN,technical term,Dimension,36718,r013
b,B,NOUN,technical term,Dimension,36718,r016
find,find,VERB,technical term,To discover or locate through investigation,36718,r025
C=2,C=2,PROPN,EQUATION,relationship between variables,36718,r010
answer,Answer,NOUN,technical term,A solution or response to a question or problem.,36718,r014
c,C,NOUN,technical term,Dimension,36718,r017
x,X,NOUN,Technical Term,Unknown Value,69327,r008
x,X,NOUN,Technical Term,Unknown Value,69327,r008
=,=,NOUN,Technical Term,Equation Symbol,69327,r005
=,=,NOUN,Technical Term,Equation Symbol,69327,r005
5X,5X,PROPN,Technical Term,Mathematical Expression,69327,r004
+,+,PROPN,Technical Term,Mathematical Operation,69327,r001
35/3,35/3,PROPN,Individual Name,Result of Calculation,69327,r002
42/3,42/3,PROPN,Organization Name,Company Name,69327,r003
E,E,PROPN,Individual Name,Variable,69327,r006
Sum,Sum,PROPN,technical term,Operation for combining values,49968,r004
average,Average,ADJ,technical term,Central tendency value,49968,r005
=,=,PROPN,technical term,Comparison operation,49968,r001
Answer,Answer,PROPN,individual name,Correct response,49968,r002
C,C,PROPN,organization name,Unknown - context-dependent,49968,r003
initial,Initial,ADJ,technical term,Beginning or first,71969,r026
bacterial,bacterial,ADJ,technical term,Relating to bacteria,71969,r012
specie,species,NOUN,technical term,A specific kind or type of organism,71969,r040
reduce,reduce,NOUN,,"To lessen or decrease something. In this context, it refers to reducing the number of bacteria species.",71969,r035
reduce,reduce,NOUN,technical term,Decrease or diminution,71969,r035
BY,BY,PROPN,,Indicates a measure or amount by which something is reduced.,71969,r007
x,x,PROPN,NORP,"Used as a variable for an unknown quantity or factor, often related to representing specific data points within the texts. The meaning can be interpreted differently depending on the context.",71969,r043
8)%,8)%,PROPN,organization name,percentage of bacterial species,71969,r003
percentage,percentage,NOUN,technical term,Proportion or fraction expressed as a percentage,71969,r033
bacterial,bacterial,ADJ,technical term,Relating to bacteria,71969,r012
specie,species,NOUN,technical term,A specific kind or type of organism,71969,r040
x,x,PROPN,NORP,"Used as a variable for an unknown quantity or factor, often related to representing specific data points within the texts. The meaning can be interpreted differently depending on the context.",71969,r043
8)%,8)%,PROPN,organization name,percentage of bacterial species,71969,r003
x,x,NOUN,NORP,"Used as a variable for an unknown quantity or factor, often related to representing specific data points within the texts. The meaning can be interpreted differently depending on the context.",71969,r043
8)/100,8)/100,NOUN,technical term,percentage reduction,71969,r004
note,Note,NOUN,technical term,Explanation or clarification,71969,r031
difference,Difference,NOUN,technical term,The deviation or disparity between values,71969,r021
betweenreduce,betweenreduce,NOUN,technical term,Mathematical operation representing reduction between values,71969,r013
remain,remain,NOUN,technical term,Quantity left after a deduction or change,71969,r036
andreduce,andreduce,NOUN,technical term,process of reduction,71969,r010
by[means,by[means,PROPN,technical term,Indicates a percentage or portion decrease from an original value,71969,r016
remain,remain,NOUN,technical term,Quantity left after a deduction or change,71969,r036
so,So,ADV,,Conjunction indicating consequence,71969,r039
number,number,NOUN,technical term,Quantity of something,71969,r032
bacterial,bacterial,ADJ,technical term,Relating to bacteria,71969,r012
specie,species,NOUN,technical term,A specific kind or type of organism,71969,r040
reduce,reducing,VERB,,"To lessen or decrease something. In this context, it refers to reducing the number of bacteria species.",71969,r035
reduce,reducing,VERB,technical term,Decrease or diminution,71969,r035
x)/100,x)/100,PROPN,,Not applicable as it is an incomplete term based on context.,71969,r046
