lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_20_masked,p_40_masked,p_60_masked,p_80_masked
weight,weight,NOUN,,heaviness,86078,r010,False,True,False,True,True
dog,dogs,NOUN,,domesticated canid,86078,r004,False,False,False,False,True
determined,determined,ADJ,,established or ascertained,86078,r003,False,False,True,False,True
respectively,respectively,ADV,,in the order stated,86078,r007,False,False,True,True,True
weight,weight,NOUN,,heaviness,86078,r010,False,True,False,True,True
dog,dog,NOUN,,domesticated canid,86078,r004,False,False,False,False,True
determined,determined,ADJ,,established or ascertained,86078,r003,False,False,True,False,True
pound,pounds,NOUN,,unit of weight,86078,r006,False,False,True,True,True
average,average,ADJ,technical term,central tendency,86078,r002,False,False,False,False,False
arithmetic,arithmetic,ADJ,technical term,mathematical operations,86078,r001,False,True,False,True,False
mean,mean,NOUN,technical term,average value,86078,r005,False,False,False,True,True
weight,weight,NOUN,,heaviness,86078,r010,False,True,False,True,True
dog,dogs,NOUN,,domesticated canid,86078,r004,False,False,False,False,True
same,same,ADJ,,identical or alike,86078,r008,False,False,False,False,True
dog,dogs,NOUN,,domesticated canid,86078,r004,False,False,False,False,True
value,value,NOUN,,importance or significance,86078,r009,False,False,True,True,True
Mahesh,Mahesh,PROPN,Individual Name,Person,27658,r001,False,True,False,False,True
mark,marks,VERB,Action verb,To set a price,27658,r006,False,False,True,False,True
article,article,NOUN,Technical Term,Product,27658,r003,False,False,False,True,False
cost,cost,NOUN,Technical Term,Price,27658,r004,False,False,True,True,True
price,price,NOUN,Technical Term,Amount paid for something,27658,r008,False,False,False,False,True
Rs,Rs,PROPN,NORP,Currency,27658,r002,False,True,False,True,False
discount,discount,NOUN,Technical Term,Reduction in price,27658,r005,False,False,True,True,True
percentage,percentage,NOUN,Technical Term,Proportion,27658,r007,False,False,False,True,True
sell,sells,VERB,Action verb,To exchange for money,27658,r009,False,False,True,False,True
Rs,Rs,PROPN,NORP,Currency,27658,r002,False,True,False,True,False
Rs,Rs,PROPN,PERSON,Currency (Indian Rupee),54084,r001,False,False,False,False,True
divide,divided,VERB,Technical Term,Splitting or distributing something into parts.,54084,r002,False,False,True,True,True
way,way,NOUN,Organization Name,Method or manner of doing something.,54084,r007,False,False,False,True,True
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003,False,True,False,True,False
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003,False,True,False,True,False
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003,False,True,False,True,False
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003,False,True,False,True,False
then,then,ADV,Technical Term,Following this point in time or events.,54084,r006,False,False,True,False,True
