word,part_of_speech,category,meaning,question_id
arithmetic,ADJ,technical term,mathematical operations,86078
average,ADJ,technical term,central tendency,86078
determined,ADJ,,established or ascertained,86078
dog,NOUN,,domesticated canid,86078
mean,NOUN,technical term,average value,86078
pound,NOUN,,unit of weight,86078
respectively,ADV,,in the order stated,86078
same,ADJ,,identical or alike,86078
value,NOUN,,importance or significance,86078
weight,NOUN,,heaviness,86078
Mahesh,PROPN,Individual Name,Person,27658
Rs,PROPN,NORP,Currency,27658
article,NOUN,Technical Term,Product,27658
cost,NOUN,Technical Term,Price,27658
discount,NOUN,Technical Term,Reduction in price,27658
mark,VERB,Action verb,To set a price,27658
percentage,NOUN,Technical Term,Proportion,27658
price,NOUN,Technical Term,Amount paid for something,27658
sell,VERB,Action verb,To exchange for money,27658
Rs,PROPN,Individual Name,Currency (Indian Rupee),54084
divide,VERB,Technical Term,Splitting or distributing something into parts.,54084
get,VERB,Technical Term,Receiving or acquiring something.,54084
respectively,ADV,Technical Term,In the order stated.,54084
share,NOUN,Organization Name,Portion or part received from a total.,54084
then,ADV,Technical Term,Following this point in time or events.,54084
way,NOUN,Organization Name,Method or manner of doing something.,54084
discount,VERB,technical term,Reduction in price,13920
item,NOUN,organization name,Product being sold,13920
percentage,NOUN,technical term,Expression of proportion,13920
price,NOUN,technical term,Monetary value assigned to an item,13920
sale,NOUN,organization name,Promotional event with discounted pricing,13920
average,NOUN,technical term,The calculated central tendency of a set of numerical values.,81305
multiply,VERB,technical term,To increase the value of something by a specific factor.,81305
new,ADJ,technical term,Different from the previous or existing one.,81305
number,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305
set,NOUN,technical term,A collection of items or values.,81305
then,ADV,technical term,"Subsequently, after something else has happened.",81305
arithmetic,ADJ,technical term,Mathematical sequence,18645
progression,NOUN,technical term,Ordered sequence of numbers or terms,18645
sum,NOUN,technical term,Total value of a set of numbers,18645
term,NOUN,technical term,Individual component in a sequence,18645
