lemma,word,part_of_speech,category,meaning,question_id,code
weight,weight,NOUN,,heaviness,86078,r010
dog,dogs,NOUN,,domesticated canid,86078,r004
determined,determined,ADJ,,established or ascertained,86078,r003
respectively,respectively,ADV,,in the order stated,86078,r007
weight,weight,NOUN,,heaviness,86078,r010
dog,dog,NOUN,,domesticated canid,86078,r004
determined,determined,ADJ,,established or ascertained,86078,r003
pound,pounds,NOUN,,unit of weight,86078,r006
average,average,ADJ,technical term,central tendency,86078,r002
arithmetic,arithmetic,ADJ,technical term,mathematical operations,86078,r001
mean,mean,NOUN,technical term,average value,86078,r005
weight,weight,NOUN,,heaviness,86078,r010
dog,dogs,NOUN,,domesticated canid,86078,r004
same,same,ADJ,,identical or alike,86078,r008
dog,dogs,NOUN,,domesticated canid,86078,r004
value,value,NOUN,,importance or significance,86078,r009
Mahesh,Mahesh,PROPN,Individual Name,Person,27658,r001
mark,marks,VERB,Action verb,To set a price,27658,r006
article,article,NOUN,Technical Term,Product,27658,r003
cost,cost,NOUN,Technical Term,Price,27658,r004
price,price,NOUN,Technical Term,Amount paid for something,27658,r008
Rs,Rs,PROPN,NORP,Currency,27658,r002
discount,discount,NOUN,Technical Term,Reduction in price,27658,r005
percentage,percentage,NOUN,Technical Term,Proportion,27658,r007
sell,sells,VERB,Action verb,To exchange for money,27658,r009
Rs,Rs,PROPN,NORP,Currency,27658,r002
Rs,Rs,PROPN,PERSON,Currency (Indian Rupee),54084,r001
divide,divided,VERB,Technical Term,Splitting or distributing something into parts.,54084,r002
way,way,NOUN,Organization Name,Method or manner of doing something.,54084,r007
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003
get,gets,VERB,Technical Term,Receiving or acquiring something.,54084,r003
then,then,ADV,Technical Term,Following this point in time or events.,54084,r006
share,shares,NOUN,Organization Name,Portion or part received from a total.,54084,r005
respectively,respectively,ADV,Technical Term,In the order stated.,54084,r004
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004
item,item,NOUN,organization name,Product being sold,13920,r002
discount,discounted,VERB,technical term,Reduction in price,13920,r001
sale,sale,NOUN,organization name,Promotional event with discounted pricing,13920,r005
item,item,NOUN,organization name,Product being sold,13920,r002
discount,discounted,VERB,technical term,Reduction in price,13920,r001
discount,discounted,VERB,technical term,Reduction in price,13920,r001
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004
item,item,NOUN,organization name,Product being sold,13920,r002
percentage,percentage,NOUN,technical term,Expression of proportion,13920,r003
sale,sale,NOUN,organization name,Promotional event with discounted pricing,13920,r005
price,price,NOUN,technical term,Monetary value assigned to an item,13920,r004
average,average,NOUN,technical term,The calculated central tendency of a set of numerical values.,81305,r001
number,numbers,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004
number,number,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004
multiply,multiplied,VERB,technical term,To increase the value of something by a specific factor.,81305,r002
then,then,ADV,technical term,"Subsequently, after something else has happened.",81305,r006
average,average,NOUN,technical term,The calculated central tendency of a set of numerical values.,81305,r001
new,new,ADJ,technical term,Different from the previous or existing one.,81305,r003
set,set,NOUN,technical term,A collection of items or values.,81305,r005
number,numbers,NOUN,technical term,"A value representing a quantity, in particular an integer.",81305,r004
sum,sum,NOUN,technical term,Total value of a set of numbers,18645,r003
term,term,NOUN,technical term,Individual component in a sequence,18645,r004
term,term,NOUN,technical term,Individual component in a sequence,18645,r004
arithmetic,arithmetic,ADJ,technical term,Mathematical sequence,18645,r001
progression,progression,NOUN,technical term,Ordered sequence of numbers or terms,18645,r002
sum,sum,NOUN,technical term,Total value of a set of numbers,18645,r003
