lemma,word,part_of_speech,category,meaning,code
we,We,PRON,Organization Name,The team or individuals executing this sales plan simulation,r063
simulate,simulate,VERB,,Model or replicate a system or process,r052
sale,sales,NOUN,technical term,the act of selling something,r049
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043
zx-1000,ZX-1000,ADJ,NORP,The name of a scooter model produced by a company.,r065
model,model,NOUN,technical term,A specific version or design of a product,r031
base,based,VERB,,to establish as a foundation,r014
follow,following,VERB,,To go after or obey instructions,r025
sale,sales,NOUN,technical term,the act of selling something,r049
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035
please,Please,INTJ,,A polite request or expression of courtesy,r037
fill,fill,VERB,,To make something complete or full,r024
blank,blanks,NOUN,,empty space,r015
simulation,simulation,NOUN,technical term,A representation of a real-world system or process,r053
accord,according,VERB,,to agree,r012
condition,conditions,NOUN,,a requirement or circumstance for something to happen,r017
Reference,Reference,PROPN,Technical Term,Document,r006
Reference,Reference,PROPN,Technical Term,Document,r006
Sales,Sales,PROPN,Organization Name,Commercial Business,r008
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004
Scooter Model:,Scooter Model:,PROPN,PERSON,Product or Specific Item,r009
ZX-1000,ZX-1000,PROPN,product name,Scooter model produced by Tanaka Vehicles,r011
Production,Production,PROPN,Technical Term,Manufacturing Process,r005
Volume,Volume,PROPN,Technical Term,Quantity,r010
Production,Production,PROPN,Technical Term,Manufacturing Process,r005
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060
Domestic Inventory,Domestic Inventory,PROPN,ORG,Company or Business Entity,r002
project,Projected,VERB,technical term,to estimate or propose a plan,r041
ZX-1000,ZX-1000,PROPN,product name,Scooter model produced by Tanaka Vehicles,r011
Revenue,Revenue,PROPN,Technical Term,Income Generated,r007
Revenue,Revenue,PROPN,Technical Term,Income Generated,r007
Domestic Projected,Domestic Projected,PROPN,PERSON,Person or Individual,r003
Sales,Sales,PROPN,Organization Name,Commercial Business,r008
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004
condition,Conditions,NOUN,,a requirement or circumstance for something to happen,r017
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043
cost,cost,NOUN,,the amount of money required for something,r019
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060
set,set,VERB,technical term,Assign a value or parameter,r051
