word,part_of_speech,category,lemma,word_count,index
We,PRON,,we,1,[0]
will,AUX,,will,0,[1]
simulate,VERB,,simulate,1,[2]
the,DET,,the,0,[3]
sales,NOUN,,sale,1,[4]
plan,NOUN,,plan,1,[5]
after,ADP,,after,0,[6]
the,DET,,the,0,[7]
recall,NOUN,,recall,1,[8]
of,ADP,,of,0,[9]
the,DET,,the,0,[10]
ZX-1000,ADJ,NORP,zx-1000,1,[11]
model,NOUN,,model,1,[12]
based,VERB,,base,1,[13]
on,ADP,,on,0,[14]
the,DET,,the,0,[15]
following,VERB,,follow,1,[16]
sales,NOUN,,sale,1,[17]
plan,NOUN,,plan,1,[18]
.,PUNCT,,.,0,[19]
Please,INTJ,,please,1,[20]
fill,VERB,,fill,1,[21]
in,ADP,,in,0,[22]
the,DET,,the,0,[23]
blanks,NOUN,,blank,1,[24]
in,ADP,,in,0,[25]
the,DET,,the,0,[26]
simulation,NOUN,,simulation,1,[27]
according,VERB,,accord,1,[28]
to,ADP,,to,0,[29]
the,DET,,the,0,[30]
conditions,NOUN,,condition,1,[31]
.,PUNCT,,.,0,[32]
"

",SPACE,,"

",0,[33]
<,X,,<,0,[34]
Reference,PROPN,,Reference,1,[35]
3,NUM,CARDINAL,3,0,[36]
:,PUNCT,,:,0,[37]
Sales,PROPN,,Sales,1,[38]
Plan,PROPN,,Plan,1,[39]
>,X,,>,0,[40]
"
",SPACE,,"
",0,[41]
Scooter Model:,PROPN,PERSON,Scooter Model:,2,"[42, 43, 44]"
ZX-1000,PROPN,,ZX-1000,1,[45]
"
",SPACE,,"
",0,[46]
2023,NUM,CARDINAL,2023,0,[47]
Production,PROPN,,Production,1,[48]
Volume,PROPN,,Volume,1,[49]
:,PUNCT,,:,0,[50]
"15,840.00",NUM,CARDINAL,"15,840.00",0,[51]
units,NOUN,,unit,1,[52]
"
",SPACE,,"
",0,[53]
2024,NUM,CARDINAL,2024,0,[54]
Production,PROPN,,Production,1,[55]
Plan,PROPN,,Plan,1,[56]
:,PUNCT,,:,0,[57]
"27,720.00",PROPN,CARDINAL,"27,720.00",0,[58]
units,NOUN,,unit,1,[59]
"
",SPACE,,"
",0,[60]
Domestic Inventory,PROPN,ORG,Domestic Inventory,2,"[61, 62]"
as,ADP,,as,0,[63]
of,ADP,,of,0,[64]
the end of April 2024,DET,DATE,the end of April 2024,0,"[65, 66, 67, 68, 69]"
:,PUNCT,,:,0,[70]
"3,960.00",NUM,CARDINAL,"3,960.00",0,[71]
units,NOUN,,unit,1,[72]
"

",SPACE,,"

",0,[73]
Projected,VERB,,project,1,[74]
