word,part_of_speech,category,meaning,question_id, word,source_text,text,source,meaning ,_meaning,"},   {",recently,rock,say
Hall & Oates,PROPN,Organization Name,Musical Duo,20231124_5,,,,,,,,,,
Simon & Garfunkel,PROPN,Organization Name,Musical Duo,20231124_5,,,,,,,,,,
case,NOUN,Technical Term,Legal Proceeding,20231124_5,,,,,,,,,,
battle,NOUN,Technical Term,"Conflict, Disagreement",20231124_5,,,,,,,,,,
Daryl Hall,PROPN,Individual Name,Musician,20231124_5,,,,,,,,,,
John Oates,PROPN,Individual Name,Musician,20231124_5,,,,,,,,,,
Stripes,PROPN,Organization Name,Music Band,20231124_5,,,,,,,,,,
US,PROPN,GPE,Country,20231124_5,,,,,,,,,,
White,PROPN,Organization Name,Music Band,20231124_5,,,,,,,,,,
commercially,ADV,,Regarding financial success,20231124_5,,,,,,,,,,
contract,NOUN,technical term,Legal Agreement,20231124_5,,,,,,,,,,
debt,NOUN,technical term,Financial Obligation,20231124_5,,,,,,,,,,
duo,NOUN,organization name,Musical Group,20231124_5,,,,,,,,,,
embroil,VERB,,Involve in Dispute,20231124_5,,,,,,,,,,
history,NOUN,technical term,Record of Events,20231124_5,,,,,,,,,,
involve,VERB,,Include or Engage,20231124_5,,,,,,,,,,
lawsuit,NOUN,technical term,Legal Action,20231124_5,,,,,,,,,,
legal,ADJ,technical term,Related to Law,20231124_5,,,,,,,,,,
most,ADV,,Largest Amount or Degree,20231124_5,,,,,,,,,,
music,NOUN,technical term,Art Form,20231124_5,,,,,,,,,,
musical,ADJ,technical term,Music Industry/Genre,20231124_5,,,,,,,,,,
obtain,VERB,,Legal Action,20231124_5,,,,,,,,,,
one,NUM,,Unspecified Individual/Entity,20231124_5,,,,,,,,,,
order,NOUN,legal term,Court Directive,20231124_5,,,,,,,,,,
other,ADJ,,Unspecified Individual/Entity,20231124_5,,,,,,,,,,
part,NOUN,,Fragment/Portion,20231124_5,,,,,,,,,,
partner,NOUN,technical term,Collaboration in Music Industry,20231124_5,,,,,,,,,,
pop,"NOUN, VERB",technical term,Popular Music Genre,20231124_5,,,,,,,,,,
reportedly,ADV,,Source Confirmation,20231124_5,,,,,,,,,,
restraining,NOUN,legal term,Judicial Intervention in Legal Disputes,20231124_5,,,,,,,,,,
sealed,ADJ,Technical Term,Legal proceeding,20231124_5,,,,,,,,,,
