word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
God,PROPN,Individual Name,Higher power,0,,,,,,
accord,VERB,,Agreement,0,,,,,,
assume,VERB,,"Take on, responsibility",0,,,,,,
band,NOUN,Organization Name,Group of people,0,,,,,,
become,VERB,,Transform,0,,,,,,
cause,NOUN,Technical Term,"Reason, motivation",0,,,,,,
connect,VERB,,Link together,0,,,,,,
country,NOUN,Organization Name,Nation,0,,,,,,
course,NOUN,Technical Term,"Direction, path",0,,,,,,
decent,ADJ,,"Considerate, respectable",0,,,,,,
declare,VERB,Technical Term,Formal Action,0,,,,,,
dissolve,VERB,Technical Term,Disbandment of a Political Union,0,,,,,,
earth,NOUN,Organization Name,Physical Planet,0,,,,,,
elect,VERB,Technical Term,Formal Choice Process,0,,,,,,
entitle,VERB,Technical Term,Grant Rights or Authority,0,,,,,,
equal,ADJ,Technical Term,Equivalent Status,0,,,,,,
establish,VERB,Technical Term,Create a Structure or System,0,,,,,,
event,NOUN,Technical Term,Significant Happening,0,,,,,,
explain,VERB,Technical Term,Provide Understanding,0,,,,,,
government,NOUN,Organization Name,Political Authority,0,,,,,,
human,ADJ,individual name,Person/being,0,,,,,,
impel,VERB,technical term,Motive / drive ,0,,,,,,
main,ADJ,technical term,Central purpose / most important,0,,,,,,
mankind,NOUN,organization name,"Collectively, humans",0,,,,,,
necessary,ADJ,technical term,Required / Essential,0,,,,,,
new,ADJ,technical term,Recently formed or different,0,,,,,,
opinion,NOUN,individual name,Belief/viewpoint of a person,0,,,,,,
people,NOUN,organization name,Group of humans,0,,,,,,
political,ADJ,technical term,Related to government and power,0,,,,,,
one,NUM,,,0,,,,,,
power,NOUN,technical term,Political influence or authority,0,,,,,,
president,NOUN,individual name,Head of state,0,,,,,,
purpose,NOUN,technical term,Goal or objective,0,,,,,,
require,VERB,None,Demand as necessary,0,,,,,,
respect,NOUN,technical term,Esteem or consideration,0,,,,,,
separate,ADJ,None,Distinct or apart,0,,,,,,
separation,NOUN,technical term,The act of being divided,0,,,,,,
station,NOUN,technical term,A fixed location or position,0,,,,,,
text,NOUN,None,Written or printed matter,0,,,,,,
The Declaration of Independence,DET,WORK_OF_ART,"A foundational document of the United States, outlining its principles of self-governance",0,,,,,,
war,NOUN,TECHNICAL TERM,Armed Conflict,0,,,,,,
The Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical or Natural Law Principles,0,,,,,,
God,PROPN,individual name,Higher power,1,,,,,,
cause,NOUN,technical term,reason for action,1,,,,,,
course,NOUN,technical term,"direction, path",1,,,,,,
accord,VERB,,,1,,,,,,
assume,VERB,,,1,,,,,,
band,NOUN,,,1,,,,,,
become,VERB,,,1,,,,,,
connect,VERB,,,1,,,,,,
create,VERB,,,1,,,,,,
decent,ADJ,,,1,,,,,,
declare,VERB,technical term,Formal announcement or statement of intent,1,,,,,,
dissolve,VERB,technical term,To end or terminate a formal association,1,,,,,,
earth,NOUN,technical term,The planet Earth,1,,,,,,
entitle,VERB,technical term,To give legal or moral right to something,1,,,,,,
equal,ADJ,technical term,"Having the same value, amount, or degree; fair and just",1,,,,,,
event,NOUN,technical term,A significant happening or occurrence,1,,,,,,
government,NOUN,organization name,System of ruling and managing a country or society,1,,,,,,
human,"ADJ, NOUN",individual name,A member of the species Homo sapiens,1,,,,,,
impel,VERB,technical term,To urge or drive forward by force,1,,,,,,
king,NOUN,individual name,"A male monarch, ruler of a kingdom",1,,,,,,
mankind,NOUN,technical term,Humanity,1,,,,,,
necessary,ADJ,technical term,Required for a specific outcome or situation,1,,,,,,
one,NUM,CARDINAL,Single unit or instance,1,,,,,,
opinion,NOUN,technical term,Belief or judgment based on information or thought,1,,,,,,
people,NOUN,organization name,Group of individuals who share common traits or goals,1,,,,,,
political,ADJ,technical term,"Relating to government, public affairs, or policy",1,,,,,,
power,NOUN,technical term,Ability to influence or control events or people,1,,,,,,
relationship,NOUN,technical term,"Connection or association between individuals, objects, or concepts",1,,,,,,
require,VERB,technical term,To necessitate or demand something as essential,1,,,,,,
respect,NOUN,technical term,Esteem or admiration for someone or something,1,,,,,,
separate,ADJ,Technical Term,Describes distinct or unconnected entities or groups.,1,,,,,,
separation,NOUN,Technical Term,The act of detaching or dividing things apart.,1,,,,,,
station,NOUN,Technical Term,A specific position or role within a system or structure.,1,,,,,,
text,NOUN,Technical Term,Written or printed communication conveying information.,1,,,,,,
unequal,ADJ,Technical Term,"Non-equivalent or lacking similarity in terms of value, amount, or characteristics.",1,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical Doctrine,1,,,,,,
God,PROPN,Individual Name,Higher Power,2,,,,,,
band,NOUN,Organization Name,Group of People,2,,,,,,
cause,NOUN,Technical Term,Reason,2,,,,,,
course,NOUN,Technical Term,Progression of Events,2,,,,,,
declare,VERB,,To State Clearly,2,,,,,,
accord,VERB,,,2,,,,,,
assume,VERB,,,2,,,,,,
become,VERB,,,2,,,,,,
connect,VERB,,,2,,,,,,
decent,ADJ,,,2,,,,,,
dissolve,VERB,Technical Term,Political Separation,2,,,,,,
earth,NOUN,Organization Name,Planet Earth,2,,,,,,
elect,VERB,Technical Term,Political Process,2,,,,,,
entitle,VERB,Technical Term,Legal Right,2,,,,,,
equal,ADJ,Technical Term,"Parity, Equality",2,,,,,,
event,NOUN,Technical Term,Historical Occurrence,2,,,,,,
human,ADJ,Category: Individual Name,"People, Humanity",2,,,,,,
impel,VERB,Technical Term,"Motivations, Drive",2,,,,,,
king,NOUN,Individual Name,Monarch,2,,,,,,
mankind,NOUN,Category: Individual Name,All People,2,,,,,,
necessary,ADJ,Technical Term,Political Action/Process,2,,,,,,
new,ADJ,Individual Name,Leader/Position,2,,,,,,
one,NUM,Individual Name,Group of People/Collective,2,,,,,,
opinion,NOUN,Technical Term,Justification for Action,2,,,,,,
people,NOUN,Organization Name,Political Entity/Collective Group,2,,,,,,
political,ADJ,Technical Term,Related to Power or Governance,2,,,,,,
power,NOUN,Technical Term,Control/Influence over Others,2,,,,,,
president,NOUN,Individual Name,Leader of a Political Entity,2,,,,,,
reason,NOUN,Technical Term,Cause or Motivation for Action,2,,,,,,
require,VERB,Technical Term,Necessary Action in a Process,2,,,,,,
respect,NOUN,technical term,Consideration or esteem for others.,2,,,,,,
separate,ADJ,technical term,"forming, being, or acting independently.",2,,,,,,
separation,NOUN,technical term,The act of dividing or separating things.,2,,,,,,
show,VERB,organization name,To exhibit or display something.,2,,,,,,
start,VERB,individual name,To begin or commence an action or process.,2,,,,,,
station,NOUN,technical term,"A fixed place, location, or position.",2,,,,,,
text,NOUN,organization name,Written or printed matter.,2,,,,,,
the Laws of Nature and of Nature’s,DET,work of art,A collection of principles governing the universe.,2,,,,,,
war,NOUN,individual name,Armed conflict between nations or groups.,2,,,,,,
God,PROPN,Individual Name,Deity,3,,,,,,
assume,VERB,Technical Term,Take on a role or responsibility,3,,,,,,
band,NOUN,Technical Term,Group of people united by common purpose,3,,,,,,
become,VERB,Technical Term,Transform or develop into something else,3,,,,,,
cause,NOUN,Technical Term,Reason or motivation for an action or event,3,,,,,,
connect,VERB,Technical Term,Establish a link or relationship between things,3,,,,,,
course,NOUN,Technical Term,Direction or development of events,3,,,,,,
decent,ADJ,Technical Term,"Considerable, socially acceptable",3,,,,,,
declare,VERB,Technical Term,Make a formal statement or announcement,3,,,,,,
dissolve,VERB,Technical Term,Breakdown or termination of something,3,,,,,,
earth,NOUN,technical term,Planet,3,,,,,,
economic,ADJ,technical term,Relating to wealth and resources,3,,,,,,
entitle,VERB,technical term,To give someone a right or claim,3,,,,,,
equal,ADJ,technical term,Having the same value or status,3,,,,,,
event,NOUN,technical term,Significant occurrence,3,,,,,,
human,ADJ,individual name,Relating to people,3,,,,,,
impel,VERB,technical term,To drive or urge forward,3,,,,,,
innovation,NOUN,technical term,New idea or invention,3,,,,,,
mankind,NOUN,individual name,All humans,3,,,,,,
mention,VERB,technical term,To refer to briefly,3,,,,,,
necessary,ADJ,technical term,Requirement,3,,,,,,
one,NUM,cardinal,Singular Entity,3,,,,,,
opinion,NOUN,higher-level concept,Belief or Judgement,3,,,,,,
order,NOUN,technical term,Arrangement or  Process,3,,,,,,
people,NOUN,individual name,Group of Humans,3,,,,,,
policy,NOUN,technical term,Line of Action,3,,,,,,
political,ADJ,higher-level concept,related to Governance or Politics,3,,,,,,
power,NOUN,higher-level concept,Influence or Ability,3,,,,,,
preamble,NOUN,technical term,Introduction or Preface,3,,,,,,
reason,NOUN,higher-level concept,Cause or Justification,3,,,,,,
require,VERB,Technical Term,"Obligation, Duty",3,,,,,,
respect,NOUN,Technical Term,"Esteem, Consideration",3,,,,,,
separate,ADJ,Technical Term,"Distinct, Independent",3,,,,,,
separation,NOUN,Technical Term,"Division, Disconnection",3,,,,,,
station,NOUN,Technical Term,"Position, Role",3,,,,,,
technological,ADJ,Technical Term,Pertaining to Technology,3,,,,,,
war,NOUN,Technical Term,Armed Conflict,3,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,Political document,3,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical concept,3,,,,,,
God,PROPN,Individual Name,Religious Deity,4,,,,,,
assume,VERB,Technical Term,Take on Responsibility,4,,,,,,
band,NOUN,Organization Name,Political Group,4,,,,,,
become,VERB,Technical Term,Achieve a State,4,,,,,,
cause,NOUN,Technical Term,Motivation,4,,,,,,
connect,VERB,Technical Term,Establish Relationship,4,,,,,,
connection,NOUN,Technical Term,Linkage,4,,,,,,
cooperation,NOUN,Organization Name,Collective Effort,4,,,,,,
course,NOUN,Technical Term,"Process, Path",4,,,,,,
cultural,ADJ,Technical Term,Relating to Society and Beliefs,4,,,,,,
decent,ADJ,Technical Term,Respect and Consideration for Morals,4,,,,,,
declare,VERB,Technical Term,To Officially Express or State Something,4,,,,,,
dissolve,VERB,Technical Term,To Break Down or Separate Formally,4,,,,,,
earth,NOUN,Technical Term,"Planet Earth, as a Geographic Entity",4,,,,,,
economic,ADJ,Technical Term,Related to Economic Systems and Activities,4,,,,,,
entitle,VERB,Technical Term,To Give Someone a Right or Claim to Something,4,,,,,,
environmental,ADJ,Technical Term,Relating to the Natural World and Its Protection,4,,,,,,
equal,ADJ,Technical Term,Of the Same Value or Status,4,,,,,,
event,NOUN,Technical Term,An Occurrence or Happening,4,,,,,,
human,ADJ,Technical Term, Relating to Mankind,4,,,,,,
impel,VERB,Technical Term,Cause or motivate,4,,,,,,
influence,NOUN,Technical Term,Power to affect something or someone,4,,,,,,
mankind,NOUN,Individual Name,All of humanity,4,,,,,,
necessary,ADJ,Technical Term,Essential or indispensable,4,,,,,,
need,VERB,Technical Term,To have a requirement or demand,4,,,,,,
one,NUM,Cardinal Number,"The number 1, expressing individuality",4,,,,,,
opening,NOUN,Individual Name,A beginning or introduction,4,,,,,,
opinion,NOUN,Organization Name,A belief or judgment held by a group,4,,,,,,
people,NOUN,Individual Name,Human beings collectively,4,,,,,,
political,ADJ,Technical Term,Relating to government or society,4,,,,,,
power,NOUN,technical term,ability to influence or control events or people,4,,,,,,
require,VERB,,demand something as necessary,4,,,,,,
respect,NOUN,technical term,regard for the rights and feelings of others,4,,,,,,
separate,ADJ,,forming a distinct unit or group apart from others,4,,,,,,
separation,NOUN,technical term,the action of moving or placing things or people apart,4,,,,,,
sever,VERB,,to cut or break something completely apart,4,,,,,,
state,VERB,,to express something clearly and openly,4,,,,,,
station,NOUN,technical term,a fixed position or place,4,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,A foundational document outlining the principles for American government.,4,,,,,,
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophically grounded set of principles governing natural phenomena.,4,,,,,,
tie,NOUN,Technical Term,Connection between people or things,4,,,,,,
God,PROPN,Individual Name,Deity,5,,,,,,
accord,VERB,Technical Term,Agreement,5,,,,,,
alliance,NOUN,Organization Name,Political Union,5,,,,,,
assume,VERB,Technical Term,Take Position,5,,,,,,
band,NOUN,Organization Name,Group,5,,,,,,
become,VERB,Technical Term,Transform,5,,,,,,
cause,NOUN,Organization Name,Reason,5,,,,,,
connect,VERB,Technical Term,Join,5,,,,,,
course,NOUN,Technical Term,Direction,5,,,,,,
decent,ADJ,Technical Term,Admissible,5,,,,,,
